rcp	gcm	ensemble	pr	tas	tasmax	tasmin	hur	rsds	sfcWind
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	ipsl_cm5a_lr	r1i1p1	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
