"CELL30M","SoilProfile","repre","acum"
18161,"WI_FRCG003",0.7,0.7
18162,"WI_FRCG003",0.7,0.7
18504,"HC_GEN0025",0.7,0.7
18505,"HC_GEN0025",0.7,0.7
19401,"HC_GEN0025",0.7,0.7
19582,"HC_GEN0025",0.7,0.7
19583,"HC_GEN0025",0.7,0.7
19758,"HC_GEN0025",0.7,0.7
19760,"HC_GEN0025",0.7,0.7
20259,"WI_LVUS110",0.7,0.7
20439,"WI_LVUS110",0.7,0.7
20619,"WI_LVUS110",0.7,0.7
20667,"WI_ACVE011",0.7,0.7
20799,"WI_LVUS110",0.7,0.7
20845,"WI_ACVE011",0.7,0.7
20846,"WI_ACVE011",0.7,0.7
20979,"WI_LVUS110",0.7,0.7
24244,"WI_PHRO006",0.7,0.7
24426,"WI_PHRO006",0.7,0.7
24427,"WI_PHRO006",0.7,0.7
24428,"WI_PHRO006",0.7,0.7
26030,"WI_CMYE118",0.7,0.7
26031,"WI_CMYE118",0.7,0.7
26208,"WI_CMYE118",0.7,0.7
26212,"WI_CMYE118",0.7,0.7
26213,"WI_CMYE118",0.7,0.7
26214,"WI_CMYE118",0.7,0.7
26394,"WI_CMYE118",0.7,0.7
15592,"HC_GEN0025",0.698611111111111,0.698611111111111
15592,"WI_CMSL008",0.1625,0.861111111111111
15272,"WI_GLBD005",0.695833333333333,0.695833333333333
15272,"WI_FRBR092",0.152777777777778,0.848611111111111
579,"WI_VRTZ077",0.694444444444444,0.694444444444444
579,"WI_LVUS053",0.213888888888889,0.908333333333333
1128,"WI_CMNI002",0.694444444444444,0.694444444444444
1128,"WI_LVBR026",0.138888888888889,0.833333333333333
1304,"WI_LVBR026",0.694444444444444,0.694444444444444
1304,"WI_VRCM007",0.175,0.869444444444444
2017,"WI_CMMA003",0.694444444444444,0.694444444444444
2017,"WI_CMRU004",0.205555555555556,0.9
6547,"WI_ACPE008",0.694444444444444,0.694444444444444
6547,"WI_VRJM028",0.305555555555556,1
6722,"WI_SCTH025",0.694444444444444,0.694444444444444
6722,"WI_FLBD007",0.111111111111111,0.805555555555556
8737,"WI_PHCN044",0.694444444444444,0.694444444444444
8737,"WI_PTML013",0.138888888888889,0.833333333333333
8898,"WI_ACPE008",0.694444444444444,0.694444444444444
8898,"WI_NTCO045",0.166666666666667,0.861111111111111
10911,"WI_FRBR042",0.694444444444444,0.694444444444444
10911,"WI_LVPA014",0.183333333333333,0.877777777777778
17565,"WI_CMPE006",0.694444444444444,0.694444444444444
17565,"WI_CMUS084",0.183333333333333,0.877777777777778
19184,"WI_CMCU011",0.694444444444444,0.694444444444444
19184,"WI_FRBR102",0.116666666666667,0.811111111111111
27092,"WI_LVUY032",0.693333333333333,0.693333333333333
27092,"WI_ACZM085",0.173333333333333,0.866666666666667
740,"WI_ACBR009",0.693055555555556,0.693055555555556
740,"WI_CMRU004",0.254722222222222,0.947777777777778
8017,"WI_GLBD005",0.692307692307692,0.692307692307692
8017,"WI_GLCU001",0.115384615384615,0.807692307692308
5989,"HC_GEN0012",0.691944444444444,0.691944444444444
5989,"WI_FRUG005",0.116666666666667,0.808611111111111
5436,"WI_FLGT009",0.69,0.69
5436,"WI_VRCU020",0.24,0.93
26196,"WI_ANCR015",0.689655172413793,0.689655172413793
26196,"HC_GEN0018",0.172413793103448,0.862068965517241
5275,"WI_LXCI018",0.688888888888889,0.688888888888889
5275,"WI_FLGT005",0.138888888888889,0.827777777777778
10903,"WI_FRSR010",0.688888888888889,0.688888888888889
10903,"WI_ACVE013",0.291666666666667,0.980555555555556
15793,"WI_ACBD013",0.688888888888889,0.688888888888889
15793,"WI_LVBR054",0.172222222222222,0.861111111111111
15796,"WI_ACBD013",0.688888888888889,0.688888888888889
15796,"WI_LVBR054",0.172222222222222,0.861111111111111
18140,"WI_FRAO009",0.688888888888889,0.688888888888889
