"GS","VARIABLE","TYPE","TEST.AV.SUIT","TEST.SD.SUIT","TEST.MAX.SUIT","TEST.MIN.SUIT","TEST.OMISSION.RATE","TEST.ERROR","TEST.ERR.DIST","TEST.MXE","TEST.SLOPE","TRAIN.AV.SUIT","TRAIN.SD.SUIT","TRAIN.MAX.SUIT","TRAIN.MIN.SUIT","TRAIN.OMISSION.RATE","TRAIN.ERROR","TRAIN.ERR.DIST","TRAIN.MXE","TRAIN.SLOPE"
"7","tmean","_tsuitability",75.2795838751625,39.8275725240686,100,0,0.183355006501951,0.468537275094998,0.3,0.938459983770656,0.00253634526761978,76.9986928104575,38.6240121776001,100,0,0.16078431372549,0.449487144210441,0.466666666666667,0.913988755442174,0.00280612293594503
"7","tmean","_suitability",74.7997399219766,39.8325459728884,100,0,0.183355006501951,0.471128600965378,0.433333333333333,0.95407389237174,0.00269406151611558,76.0803921568627,38.7450498732347,100,0,0.16078431372549,0.455284081394509,0.7,0.940325540847576,0.00307215107135314
"7","tmin","_psuitability",98.5461638491548,8.08359733111813,100,0,0.00260078023407022,0.082081186616416,0.566666666666667,0.305692412856166,0.00282437050897134,97.9261437908497,9.93495202906326,100,0,0.00228758169934641,0.101475068575900,0.7,0.362008936948031,0.00342066519599206
"7","tmin","_tsuitability",24.7581274382315,40.3346840075505,100,0,0.694408322496749,0.85358716796587,0.166666666666667,0.888019098801971,0.00205523120063364,25.7202614379085,41.002119017275,100,0,0.683333333333333,0.84841640257415,0.166666666666667,0.90071967986236,0.00203614518714239
"7","tmin","_suitability",24.6475942782835,40.1932748904404,100,0,0.694408322496749,0.853895989865541,0.266666666666667,0.888019098801971,0.00219968134854813,25.4245098039216,40.6851165174218,100,0,0.683333333333333,0.849484638075814,0.533333333333333,0.90071967986236,0.00219130481460858
"7","tmax","_psuitability",98.5461638491548,8.08359733111813,100,0,0.00260078023407022,0.082081186616416,0.566666666666667,0.305692412856166,0.00282437050897134,97.9261437908497,9.93495202906326,100,0,0.00228758169934641,0.101475068575900,0.7,0.362008936948031,0.00342066519599206
"7","tmax","_tsuitability",68.4590377113134,45.2226402048092,100,0,0.300390117035111,0.551113425532658,0.6,0.979604866813932,0.000988258728505368,66.4928104575163,45.6071705455942,100,0,0.315032679738562,0.565868006965573,0.6,0.989881029093544,0.000919023936685744
"7","tmax","_suitability",67.2782834850455,45.0590244749381,100,0,0.302990897269181,0.55663149532386,0.666666666666667,0.993489839110968,0.00109670261947831,65.0320261437908,45.3944279624913,100,0,0.317320261437908,0.572951993563252,0.7,0.999260006156453,0.0009880455056418
"8","tmean","_psuitability",99.4707412223667,5.74451637042513,100,0,0.00260078023407022,0.0576512541071748,0.233333333333333,0.115993606001030,0.000908220944778043,99.3016339869281,6.25231155240245,100,0,0.00196078431372549,0.062901780475024,0.633333333333333,0.166062891174324,0.00147071581210966
"8","tmean","_tsuitability",69.7607282184655,40.9194453506196,100,0,0.195058517555267,0.508589932180863,0.233333333333333,0.988011406334357,0.00278865710441854,71.2725490196078,40.6614431194983,100,0,0.186928104575163,0.497803082048245,0.333333333333333,0.982027604708835,0.00289925986048845
"8","tmean","_suitability",69.6163849154746,40.8942333946362,100,0,0.195058517555267,0.509247258049515,0.3,0.98942400261621,0.00280292575373018,71.1016339869281,40.642942455467,100,0,0.186928104575163,0.498640603020244,0.633333333333333,0.98544049715585,0.00293373352156941
"8","tmin","_psuitability",99.4707412223667,5.74451637042513,100,0,0.00260078023407022,0.0576512541071748,0.233333333333333,0.115993606001030,0.000908220944778043,99.3016339869281,6.25231155240245,100,0,0.00196078431372549,0.062901780475024,0.633333333333333,0.166062891174324,0.00147071581210966
"8","tmin","_tsuitability",17.6827048114434,34.6540675968609,100,0,0.733420026007802,0.893055420674058,0.2,0.836514192186097,0.00326632491527455,18.4686274509804,35.0096049410525,100,0,0.729084967320261,0.887278795041738,0.2,0.842774588386336,0.00332146913264509
"8","tmin","_suitability",17.6827048114434,34.6540675968609,100,0,0.733420026007802,0.893055420674058,0.2,0.836514192186097,0.00326632491527455,18.4372549019608,34.9647136977983,100,0,0.729084967320261,0.887390166268222,0.233333333333333,0.842774588386336,0.00333120881964219
"8","tmax","_psuitability",99.4707412223667,5.74451637042513,100,0,0.00260078023407022,0.0576512541071748,0.233333333333333,0.115993606001030,0.000908220944778043,99.3016339869281,6.25231155240245,100,0,0.00196078431372549,0.062901780475024,0.633333333333333,0.166062891174324,0.00147071581210966
"8","tmax","_tsuitability",66.4330299089727,45.8049078668204,100,0,0.318595578673602,0.567635686934784,0.6,0.992755618089206,0.00090816121197946,64.236274509804,46.2289884895476,100,0,0.336601307189543,0.584419800544073,0.6,0.99899859005804,0.000782519118712324
"8","tmax","_suitability",65.9037711313394,45.7767578721002,100,0,0.321196358907672,0.570555816885653,0.6,0.996570838477073,0.000918112388608052,63.6287581699346,46.1550688329447,100,0,0.338562091503268,0.587576500373228,0.633333333333333,0.99999876740104,0.000773360535013189
"9","tmean","_psuitability",99.219765929779,7.51178410672013,100,0,0.00260078023407022,0.0754733652930661,0.275862068965517,0.153110679037458,0.00128314087443894,99.3934640522876,5.88003279265589,100,0,0.00196078431372549,0.0591027685891445,0.5,0.167796511873040,0.00148822713229870
"9","tmean","_tsuitability",77.6384915474642,39.0535073090532,100,0,0.174252275682705,0.449803309130859,0.366666666666667,0.886473451327406,0.00221346567105743,78.2228758169935,38.4007617418113,100,0,0.164379084967320,0.441404546709942,0.466666666666667,0.880490481946594,0.00238188827793230
