"id","data_provider_id","data_resource_id","institution_code_id","collection_code_id","caralogue_number_id","rank_name","specie_name","genus_name","family_name","order_name","class_name","phylum_name","kingdom_name","specie_id","genus_id","family_id","order_id","class_id","phylum_id","kingdom_id","rank_id","latitude","longitude","iso_country_code","year_created","month_created","occurrence_date","basis_of_record","basis_of_record_name","altitude_metres","IsInRangeLongitude","IsInRangeLatitude","IsInRange","IsWithin","IsIndian","UID","IS_UNIQUE"
42254092,92,1430,7973,801126,40482507,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.10000038,76.72000122,"IN","null","null","null",0,"unknown","540",1,1,1,1,1,63,TRUE
42254218,92,1430,7973,801126,40482604,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.10000038,78.08000183,"IN","null","null","null",0,"unknown","940",1,1,1,1,1,64,TRUE
42254233,92,1430,7973,801126,40482612,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.14999962,78,"IN","null","null","null",0,"unknown","155",1,1,1,1,1,65,TRUE
42304972,92,1430,7973,801126,40487629,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.14999962,78.20999908,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,66,TRUE
42254096,92,1430,7973,801126,40482510,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.22000027,77.12999725,"IN","null","null","null",0,"unknown","370",1,1,1,1,1,67,TRUE
42254097,92,1430,7973,801126,40482511,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.22000027,77.12999725,"IN","null","null","null",0,"unknown","370",1,1,1,1,1,68,FALSE
42254247,92,1430,7973,801126,40482619,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.22000027,77.81999969,"IN","null","null","null",0,"unknown","150",1,1,1,1,1,69,TRUE
42254249,92,1430,7973,801126,40482620,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,11.25,77.69999695,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,70,TRUE
47510579,92,1430,7973,801126,40489632,"genus","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,6000,11.25,77.33000183,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,71,TRUE
47513083,92,1430,7973,801126,40490310,"genus","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,6000,11.25,77.33000183,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,72,FALSE
